pageId,lang,route,canonical,title,description,schemaType,formulaId,calculationVersion,sourceRefs,glossaryTermIds,industryIds,resourceIds,productIds,dateModified,editorialStatus
aquatool-unit-converter,fr,/fr/outils/convertisseur-unites-laboratoire,https://aquaverify.com/fr/outils/convertisseur-unites-laboratoire,Convertisseur d’unités laboratoire,"Convertit masse, volume, moles, molarité, concentration massique et température.",AquaTool,unit-converter.volume.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,analytical-traceability|lims|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-unit-converter,it,/it/strumenti/convertitore-unita-laboratorio,https://aquaverify.com/it/strumenti/convertitore-unita-laboratorio,Convertitore unità laboratorio,"Converte massa, volume, moli, molarità, concentrazione massa/volume e temperatura.",AquaTool,unit-converter.volume.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,analytical-traceability|lims|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-unit-converter,ca,/ca/eines/conversor-unitats-laboratori,https://aquaverify.com/ca/eines/conversor-unitats-laboratori,Conversor d’unitats de laboratori,"Converteix massa, volum, mols, molaritat, concentració massa/volum i temperatura.",AquaTool,unit-converter.volume.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,analytical-traceability|lims|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-rpm-rcf,en,/tools/rpm-rcf-converter,https://aquaverify.com/tools/rpm-rcf-converter,RPM to RCF converter,"Convert centrifuge RPM to RCF, or RCF back to RPM, using the real rotor radius.",AquaTool,rpm-rcf.rpm_to_rcf.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,method-blank|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-rpm-rcf,es,/es/herramientas/conversor-rpm-rcf,https://aquaverify.com/es/herramientas/conversor-rpm-rcf,Conversor RPM a RCF,"Convierte RPM de centrífuga a RCF, o RCF a RPM, usando el radio real del rotor.",AquaTool,rpm-rcf.rpm_to_rcf.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,method-blank|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-rpm-rcf,fr,/fr/outils/convertisseur-rpm-rcf,https://aquaverify.com/fr/outils/convertisseur-rpm-rcf,Convertisseur RPM vers RCF,"Convertit RPM en RCF, ou RCF en RPM, avec le rayon réel du rotor.",AquaTool,rpm-rcf.rpm_to_rcf.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,method-blank|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-rpm-rcf,it,/it/strumenti/convertitore-rpm-rcf,https://aquaverify.com/it/strumenti/convertitore-rpm-rcf,Convertitore RPM a RCF,"Converte RPM in RCF, o RCF in RPM, usando il raggio reale del rotore.",AquaTool,rpm-rcf.rpm_to_rcf.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,method-blank|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-rpm-rcf,ca,/ca/eines/conversor-rpm-rcf,https://aquaverify.com/ca/eines/conversor-rpm-rcf,Conversor RPM a RCF,"Converteix RPM de centrífuga a RCF, o RCF a RPM, amb el radi real del rotor.",AquaTool,rpm-rcf.rpm_to_rcf.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,method-blank|analytical-traceability|lims,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-cfu,en,/tools/cfu-calculator,https://aquaverify.com/tools/cfu-calculator,CFU calculator,"Calculate CFU/mL from colonies, dilution fraction and plated volume.",AquaTool,cfu-calculator.plate-count.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,plaque-assay|pfu-plaque-forming-units|matrix,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-cfu,es,/es/herramientas/calculadora-ufc-cfu,https://aquaverify.com/es/herramientas/calculadora-ufc-cfu,Calculadora UFC/CFU,"Calcula UFC/mL desde colonias, fracción de dilución y volumen sembrado.",AquaTool,cfu-calculator.plate-count.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,plaque-assay|pfu-plaque-forming-units|matrix,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-cfu,fr,/fr/outils/calculateur-ufc-cfu,https://aquaverify.com/fr/outils/calculateur-ufc-cfu,Calculateur UFC/CFU,"Calcule UFC/mL depuis colonies, fraction de dilution et volume ensemencé.",AquaTool,cfu-calculator.plate-count.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,plaque-assay|pfu-plaque-forming-units|matrix,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-cfu,it,/it/strumenti/calcolatore-ufc-cfu,https://aquaverify.com/it/strumenti/calcolatore-ufc-cfu,Calcolatore UFC/CFU,"Calcola UFC/mL da colonie, frazione di diluizione e volume seminato.",AquaTool,cfu-calculator.plate-count.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,plaque-assay|pfu-plaque-forming-units|matrix,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-cfu,ca,/ca/eines/calculadora-ufc-cfu,https://aquaverify.com/ca/eines/calculadora-ufc-cfu,Calculadora UFC/CFU,"Calcula UFC/mL des de colònies, fracció de dilució i volum sembrat.",AquaTool,cfu-calculator.plate-count.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,plaque-assay|pfu-plaque-forming-units|matrix,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-recovery-rpd,en,/tools/recovery-rpd-calculator,https://aquaverify.com/tools/recovery-rpd-calculator,"Recovery, bias and RPD calculator","Calculate spike recovery, bias and relative percent difference without default acceptance criteria.",AquaTool,recovery-rpd.recovery.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,iso-iec-17025|method-blank|audit-trail,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-recovery-rpd,es,/es/herramientas/calculadora-recuperacion-rpd,https://aquaverify.com/es/herramientas/calculadora-recuperacion-rpd,Calculadora de recuperación y RPD,"Calcula recuperación, sesgo y diferencia porcentual relativa sin criterios por defecto.",AquaTool,recovery-rpd.recovery.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,iso-iec-17025|method-blank|audit-trail,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-recovery-rpd,fr,/fr/outils/calculateur-recuperation-rpd,https://aquaverify.com/fr/outils/calculateur-recuperation-rpd,Calculateur récupération et RPD,"Calcule récupération, biais et différence relative sans critères par défaut.",AquaTool,recovery-rpd.recovery.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,iso-iec-17025|method-blank|audit-trail,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-recovery-rpd,it,/it/strumenti/calcolatore-recupero-rpd,https://aquaverify.com/it/strumenti/calcolatore-recupero-rpd,Calcolatore recupero e RPD,"Calcola recupero, bias e differenza percentuale relativa senza criteri predefiniti.",AquaTool,recovery-rpd.recovery.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,iso-iec-17025|method-blank|audit-trail,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-recovery-rpd,ca,/ca/eines/calculadora-recuperacio-rpd,https://aquaverify.com/ca/eines/calculadora-recuperacio-rpd,Calculadora de recuperació i RPD,"Calcula recuperació, biaix i diferència percentual relativa sense criteris per defecte.",AquaTool,recovery-rpd.recovery.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,iso-iec-17025|method-blank|audit-trail,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-hardness-alkalinity,en,/tools/hardness-alkalinity-calculator,https://aquaverify.com/tools/hardness-alkalinity-calculator,Hardness and alkalinity calculator,"Calculate hardness from Ca and Mg, CaCO3 equivalents or alkalinity from titration.",AquaTool,hardness-alkalinity.hardness.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-hardness-alkalinity,es,/es/herramientas/calculadora-dureza-alcalinidad,https://aquaverify.com/es/herramientas/calculadora-dureza-alcalinidad,Calculadora de dureza y alcalinidad,"Calcula dureza desde Ca y Mg, equivalentes CaCO3 o alcalinidad por titulación.",AquaTool,hardness-alkalinity.hardness.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-hardness-alkalinity,fr,/fr/outils/calculateur-durete-alcalinite,https://aquaverify.com/fr/outils/calculateur-durete-alcalinite,Calculateur dureté et alcalinité,"Calcule la dureté depuis Ca et Mg, équivalents CaCO3 ou alcalinité par titrage.",AquaTool,hardness-alkalinity.hardness.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-hardness-alkalinity,it,/it/strumenti/calcolatore-durezza-alcalinita,https://aquaverify.com/it/strumenti/calcolatore-durezza-alcalinita,Calcolatore durezza e alcalinità,"Calcola durezza da Ca e Mg, equivalenti CaCO3 o alcalinità da titolazione.",AquaTool,hardness-alkalinity.hardness.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-hardness-alkalinity,ca,/ca/eines/calculadora-duresa-alcalinitat,https://aquaverify.com/ca/eines/calculadora-duresa-alcalinitat,Calculadora de duresa i alcalinitat,"Calcula duresa des de Ca i Mg, equivalents CaCO3 o alcalinitat per titulació.",AquaTool,hardness-alkalinity.hardness.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-chemical-species,en,/tools/chemical-species-converter,https://aquaverify.com/tools/chemical-species-converter,Chemical species converter,Convert nutrient reporting forms such as nitrate to nitrate-nitrogen.,AquaTool,chemical-species-converter.mass-ratio.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-chemical-species,es,/es/herramientas/conversor-especies-quimicas,https://aquaverify.com/es/herramientas/conversor-especies-quimicas,Conversor de especies químicas,"Convierte formas de reporte de nutrientes, por ejemplo nitrato a nitrógeno-nitrato.",AquaTool,chemical-species-converter.mass-ratio.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-chemical-species,fr,/fr/outils/convertisseur-especes-chimiques,https://aquaverify.com/fr/outils/convertisseur-especes-chimiques,Convertisseur d’espèces chimiques,"Convertit les formes de nutriments, par exemple nitrate vers azote nitrique.",AquaTool,chemical-species-converter.mass-ratio.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-chemical-species,it,/it/strumenti/convertitore-specie-chimiche,https://aquaverify.com/it/strumenti/convertitore-specie-chimiche,Convertitore specie chimiche,"Converte forme di nutrienti, ad esempio nitrato in azoto nitrico.",AquaTool,chemical-species-converter.mass-ratio.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
aquatool-chemical-species,ca,/ca/eines/conversor-especies-quimiques,https://aquaverify.com/ca/eines/conversor-especies-quimiques,Conversor d’espècies químiques,"Converteix formes de nutrients, per exemple nitrat a nitrogen-nitrat.",AquaTool,chemical-species-converter.mass-ratio.v1,1.0.0,AquaVerify Cloud AquaTools core|AquaTools Free v1 acceptance vectors,matrix|analytical-traceability|coa-certificate-of-analysis,water-testing-labs|water-quality-control|food-beverage-water-quality|pharma-cosmetics-water,iso-17025-water-laboratories-guide|excel-to-lims-water-analysis|water-compliance-software-guide,platform|enumera|lab-essentials,2026-06-22,reviewed-2026-06-22
