"resourceId","tipo editorial","idioma","ruta","slug","canonical","alternates/hreflang","título SEO","H1","meta description","estado de indexación previsto","PDF asociado","existencia del archivo","idioma del PDF","estado HTTP esperado","autor","revisor","datePublished","dateModified","fuentes","DOI","estado de revisión editorial"
"epa-1602","Technical guide","en","/resources/epa-1602-coliphage-testing","epa-1602-coliphage-testing","https://aquaverify.com/resources/epa-1602-coliphage-testing","x-default=https://aquaverify.com/resources/epa-1602-coliphage-testing; en=https://aquaverify.com/resources/epa-1602-coliphage-testing; es=https://aquaverify.com/es/recursos/epa-1602-colifagos; fr=https://aquaverify.com/fr/ressources/epa-1602-coliphages; it=https://aquaverify.com/it/risorse/epa-1602-colifagi; ca=https://aquaverify.com/ca/recursos/epa-1602-colifags","EPA 1602 coliphage testing workflows","EPA 1602 coliphage testing workflows","Understand how EPA-oriented coliphage workflows can be supported with products, controls and traceability.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"epa-1602","Guía técnica","es","/es/recursos/epa-1602-colifagos","epa-1602-colifagos","https://aquaverify.com/es/recursos/epa-1602-colifagos","x-default=https://aquaverify.com/resources/epa-1602-coliphage-testing; en=https://aquaverify.com/resources/epa-1602-coliphage-testing; es=https://aquaverify.com/es/recursos/epa-1602-colifagos; fr=https://aquaverify.com/fr/ressources/epa-1602-coliphages; it=https://aquaverify.com/it/risorse/epa-1602-colifagi; ca=https://aquaverify.com/ca/recursos/epa-1602-colifags","Flujos EPA 1602 para análisis de colífagos","Flujos EPA 1602 para análisis de colífagos","Entiende cómo los flujos orientados a EPA pueden apoyarse con productos, controles y trazabilidad.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"epa-1602","Guide technique","fr","/fr/ressources/epa-1602-coliphages","epa-1602-coliphages","https://aquaverify.com/fr/ressources/epa-1602-coliphages","x-default=https://aquaverify.com/resources/epa-1602-coliphage-testing; en=https://aquaverify.com/resources/epa-1602-coliphage-testing; es=https://aquaverify.com/es/recursos/epa-1602-colifagos; fr=https://aquaverify.com/fr/ressources/epa-1602-coliphages; it=https://aquaverify.com/it/risorse/epa-1602-colifagi; ca=https://aquaverify.com/ca/recursos/epa-1602-colifags","Flux EPA 1602 pour l’analyse des coliphages","Flux EPA 1602 pour l’analyse des coliphages","Comprendre comment les flux orientés EPA peuvent être soutenus par produits, contrôles et traçabilité.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"epa-1602","Guida tecnica","it","/it/risorse/epa-1602-colifagi","epa-1602-colifagi","https://aquaverify.com/it/risorse/epa-1602-colifagi","x-default=https://aquaverify.com/resources/epa-1602-coliphage-testing; en=https://aquaverify.com/resources/epa-1602-coliphage-testing; es=https://aquaverify.com/es/recursos/epa-1602-colifagos; fr=https://aquaverify.com/fr/ressources/epa-1602-coliphages; it=https://aquaverify.com/it/risorse/epa-1602-colifagi; ca=https://aquaverify.com/ca/recursos/epa-1602-colifags","Flussi EPA 1602 per analisi dei colifagi","Flussi EPA 1602 per analisi dei colifagi","Comprendi come flussi orientati EPA possono essere supportati da prodotti, controlli e tracciabilità.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"epa-1602","Guia tècnica","ca","/ca/recursos/epa-1602-colifags","epa-1602-colifags","https://aquaverify.com/ca/recursos/epa-1602-colifags","x-default=https://aquaverify.com/resources/epa-1602-coliphage-testing; en=https://aquaverify.com/resources/epa-1602-coliphage-testing; es=https://aquaverify.com/es/recursos/epa-1602-colifagos; fr=https://aquaverify.com/fr/ressources/epa-1602-coliphages; it=https://aquaverify.com/it/risorse/epa-1602-colifagi; ca=https://aquaverify.com/ca/recursos/epa-1602-colifags","Fluxos EPA 1602 per a anàlisi de colífags","Fluxos EPA 1602 per a anàlisi de colífags","Entén com els fluxos orientats a EPA poden recolzar-se amb productes, controls i traçabilitat.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"coliphages-indicators","Technical guide","en","/resources/coliphages-water-quality-indicators","coliphages-water-quality-indicators","https://aquaverify.com/resources/coliphages-water-quality-indicators","x-default=https://aquaverify.com/resources/coliphages-water-quality-indicators; en=https://aquaverify.com/resources/coliphages-water-quality-indicators; es=https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua; fr=https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau; it=https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua; ca=https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","Coliphages as viral indicators in water quality | AquaVerify","Why coliphages are a key viral indicator for water quality","Technical guide to somatic and F-specific coliphages, bacterial indicators, comparison tables, checklists, AquaVerify products and ISO/EPA references.","index, follow","https://www.epa.gov/sites/default/files/2015-12/documents/method_1601_2001.pdf; https://www.epa.gov/sites/default/files/2015-12/documents/method_1602_2001.pdf","external-link; external-link","en","200","AquaVerify","","","","","","standard-resource-review"
"coliphages-indicators","Guía técnica","es","/es/recursos/colifagos-indicadores-calidad-agua","colifagos-indicadores-calidad-agua","https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua","x-default=https://aquaverify.com/resources/coliphages-water-quality-indicators; en=https://aquaverify.com/resources/coliphages-water-quality-indicators; es=https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua; fr=https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau; it=https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua; ca=https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","Colífagos como indicador viral en calidad del agua | AquaVerify","Por qué los colífagos son el indicador viral clave para calidad del agua","Guía técnica sobre colífagos somáticos y F-específicos, diferencias con indicadores bacterianos, tablas, checklist, productos AquaVerify y referencias ISO/EPA.","index, follow","https://www.epa.gov/sites/default/files/2015-12/documents/method_1601_2001.pdf; https://www.epa.gov/sites/default/files/2015-12/documents/method_1602_2001.pdf","external-link; external-link","es","200","AquaVerify","","","","","","standard-resource-review"
"coliphages-indicators","Guide technique","fr","/fr/ressources/coliphages-indicateurs-qualite-eau","coliphages-indicateurs-qualite-eau","https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau","x-default=https://aquaverify.com/resources/coliphages-water-quality-indicators; en=https://aquaverify.com/resources/coliphages-water-quality-indicators; es=https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua; fr=https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau; it=https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua; ca=https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","Coliphages comme indicateurs viraux de la qualité de l’eau | AquaVerify","Pourquoi les coliphages sont un indicateur viral clé pour la qualité de l’eau","Guide technique sur coliphages somatiques et F-spécifiques, indicateurs bactériens, tableaux comparatifs, checklists, produits AquaVerify et références ISO/EPA.","index, follow","https://www.epa.gov/sites/default/files/2015-12/documents/method_1601_2001.pdf; https://www.epa.gov/sites/default/files/2015-12/documents/method_1602_2001.pdf","external-link; external-link","fr","200","AquaVerify","","","","","","standard-resource-review"
"coliphages-indicators","Guida tecnica","it","/it/risorse/colifagi-indicatori-qualita-acqua","colifagi-indicatori-qualita-acqua","https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua","x-default=https://aquaverify.com/resources/coliphages-water-quality-indicators; en=https://aquaverify.com/resources/coliphages-water-quality-indicators; es=https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua; fr=https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau; it=https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua; ca=https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","Colifagi come indicatori virali della qualità dell’acqua | AquaVerify","Perché i colifagi sono un indicatore virale chiave per la qualità dell’acqua","Guida tecnica su colifagi somatici e F-specifici, indicatori batterici, tabelle comparative, checklist, prodotti AquaVerify e riferimenti ISO/EPA.","index, follow","https://www.epa.gov/sites/default/files/2015-12/documents/method_1601_2001.pdf; https://www.epa.gov/sites/default/files/2015-12/documents/method_1602_2001.pdf","external-link; external-link","it","200","AquaVerify","","","","","","standard-resource-review"
"coliphages-indicators","Guia tècnica","ca","/ca/recursos/colifags-indicadors-qualitat-aigua","colifags-indicadors-qualitat-aigua","https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","x-default=https://aquaverify.com/resources/coliphages-water-quality-indicators; en=https://aquaverify.com/resources/coliphages-water-quality-indicators; es=https://aquaverify.com/es/recursos/colifagos-indicadores-calidad-agua; fr=https://aquaverify.com/fr/ressources/coliphages-indicateurs-qualite-eau; it=https://aquaverify.com/it/risorse/colifagi-indicatori-qualita-acqua; ca=https://aquaverify.com/ca/recursos/colifags-indicadors-qualitat-aigua","Colífags com a indicadors virals en qualitat de l’aigua | AquaVerify","Per què els colífags són un indicador viral clau per a la qualitat de l’aigua","Guia tècnica sobre colífags somàtics i F-específics, indicadors bacterians, taules comparatives, checklists, productes AquaVerify i referències ISO/EPA.","index, follow","https://www.epa.gov/sites/default/files/2015-12/documents/method_1601_2001.pdf; https://www.epa.gov/sites/default/files/2015-12/documents/method_1602_2001.pdf","external-link; external-link","ca","200","AquaVerify","","","","","","standard-resource-review"
"presence-vs-enumeration","Technical guide","en","/resources/presence-absence-vs-enumeration","presence-absence-vs-enumeration","https://aquaverify.com/resources/presence-absence-vs-enumeration","x-default=https://aquaverify.com/resources/presence-absence-vs-enumeration; en=https://aquaverify.com/resources/presence-absence-vs-enumeration; es=https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion; fr=https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement; it=https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione; ca=https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","Presence/Absence vs Enumeration | Water Microbiology Guide","Presence/absence vs enumeration in water microbiology","Understand when qualitative screening and quantitative enumeration workflows fit water microbiology decisions.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"presence-vs-enumeration","Guía técnica","es","/es/recursos/presencia-ausencia-vs-enumeracion","presencia-ausencia-vs-enumeracion","https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion","x-default=https://aquaverify.com/resources/presence-absence-vs-enumeration; en=https://aquaverify.com/resources/presence-absence-vs-enumeration; es=https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion; fr=https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement; it=https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione; ca=https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","Presencia/Ausencia vs Enumeración | Guía microbiología del agua","Presencia/ausencia vs enumeración en microbiología del agua","Entiende cuándo encajan los flujos cualitativos y cuantitativos en decisiones de microbiología del agua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"presence-vs-enumeration","Guide technique","fr","/fr/ressources/presence-absence-vs-denombrement","presence-absence-vs-denombrement","https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement","x-default=https://aquaverify.com/resources/presence-absence-vs-enumeration; en=https://aquaverify.com/resources/presence-absence-vs-enumeration; es=https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion; fr=https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement; it=https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione; ca=https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","Présence/absence vs dénombrement | Guide microbiologie eau","Présence/absence vs dénombrement en microbiologie de l’eau","Comprendre quand les flux qualitatifs et quantitatifs conviennent aux décisions de microbiologie de l’eau.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"presence-vs-enumeration","Guida tecnica","it","/it/risorse/presenza-assenza-vs-enumerazione","presenza-assenza-vs-enumerazione","https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione","x-default=https://aquaverify.com/resources/presence-absence-vs-enumeration; en=https://aquaverify.com/resources/presence-absence-vs-enumeration; es=https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion; fr=https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement; it=https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione; ca=https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","Presenza/assenza vs enumerazione | Guida microbiologia acqua","Presenza/assenza vs enumerazione nella microbiologia dell’acqua","Comprendi quando flussi qualitativi e quantitativi sono adatti alle decisioni di microbiologia dell’acqua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"presence-vs-enumeration","Guia tècnica","ca","/ca/recursos/presencia-absencia-vs-enumeracio","presencia-absencia-vs-enumeracio","https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","x-default=https://aquaverify.com/resources/presence-absence-vs-enumeration; en=https://aquaverify.com/resources/presence-absence-vs-enumeration; es=https://aquaverify.com/es/recursos/presencia-ausencia-vs-enumeracion; fr=https://aquaverify.com/fr/ressources/presence-absence-vs-denombrement; it=https://aquaverify.com/it/risorse/presenza-assenza-vs-enumerazione; ca=https://aquaverify.com/ca/recursos/presencia-absencia-vs-enumeracio","Presència/absència vs enumeració | Guia microbiologia aigua","Presència/absència vs enumeració en microbiologia de l’aigua","Entén quan encaixen els fluxos qualitatius i quantitatius en decisions de microbiologia de l’aigua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"sample-traceability","Technical guide","en","/resources/water-sample-digital-traceability","water-sample-digital-traceability","https://aquaverify.com/resources/water-sample-digital-traceability","x-default=https://aquaverify.com/resources/water-sample-digital-traceability; en=https://aquaverify.com/resources/water-sample-digital-traceability; es=https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua; fr=https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau; it=https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua; ca=https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","Water Sample Digital Traceability Guide | AquaVerify","How to digitalize water sample traceability","A practical guide to linking samples, operators, products, reports and customer context in water quality workflows.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"sample-traceability","Guía técnica","es","/es/recursos/trazabilidad-digital-muestras-agua","trazabilidad-digital-muestras-agua","https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua","x-default=https://aquaverify.com/resources/water-sample-digital-traceability; en=https://aquaverify.com/resources/water-sample-digital-traceability; es=https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua; fr=https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau; it=https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua; ca=https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","Guía de trazabilidad digital de muestras de agua | AquaVerify","Cómo digitalizar la trazabilidad de muestras de agua","Guía práctica para conectar muestras, operadores, productos, informes y contexto cliente en flujos de calidad del agua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"sample-traceability","Guide technique","fr","/fr/ressources/tracabilite-numerique-echantillons-eau","tracabilite-numerique-echantillons-eau","https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau","x-default=https://aquaverify.com/resources/water-sample-digital-traceability; en=https://aquaverify.com/resources/water-sample-digital-traceability; es=https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua; fr=https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau; it=https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua; ca=https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","Guide traçabilité numérique échantillons eau | AquaVerify","Comment numériser la traçabilité des échantillons d’eau","Guide pratique pour relier échantillons, opérateurs, produits, rapports et contexte client dans les flux qualité eau.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"sample-traceability","Guida tecnica","it","/it/risorse/tracciabilita-digitale-campioni-acqua","tracciabilita-digitale-campioni-acqua","https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua","x-default=https://aquaverify.com/resources/water-sample-digital-traceability; en=https://aquaverify.com/resources/water-sample-digital-traceability; es=https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua; fr=https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau; it=https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua; ca=https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","Guida tracciabilità digitale campioni acqua | AquaVerify","Come digitalizzare la tracciabilità dei campioni d’acqua","Guida pratica per collegare campioni, operatori, prodotti, report e contesto cliente nei flussi qualità acqua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"sample-traceability","Guia tècnica","ca","/ca/recursos/tracabilitat-digital-mostres-aigua","tracabilitat-digital-mostres-aigua","https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","x-default=https://aquaverify.com/resources/water-sample-digital-traceability; en=https://aquaverify.com/resources/water-sample-digital-traceability; es=https://aquaverify.com/es/recursos/trazabilidad-digital-muestras-agua; fr=https://aquaverify.com/fr/ressources/tracabilite-numerique-echantillons-eau; it=https://aquaverify.com/it/risorse/tracciabilita-digitale-campioni-acqua; ca=https://aquaverify.com/ca/recursos/tracabilitat-digital-mostres-aigua","Guia de traçabilitat digital de mostres d’aigua | AquaVerify","Com digitalitzar la traçabilitat de mostres d’aigua","Guia pràctica per connectar mostres, operadors, productes, informes i context client en fluxos de qualitat de l’aigua.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"distributor-checklist","Technical guide","en","/resources/water-testing-kit-distributor-checklist","water-testing-kit-distributor-checklist","https://aquaverify.com/resources/water-testing-kit-distributor-checklist","x-default=https://aquaverify.com/resources/water-testing-kit-distributor-checklist; en=https://aquaverify.com/resources/water-testing-kit-distributor-checklist; es=https://aquaverify.com/es/recursos/checklist-distribuidores-kits-analisis-agua; fr=https://aquaverify.com/fr/ressources/checklist-distributeurs-kits-analyse-eau; it=https://aquaverify.com/it/risorse/checklist-distributori-kit-analisi-acqua; ca=https://aquaverify.com/ca/recursos/checklist-distribuidors-kits-analisi-aigua","Water Testing Kit Distributor Checklist | AquaVerify OEM","Checklist for distributors of water testing kits","A practical checklist for scientific distributors evaluating water microbiology kits, OEM options and connected software workflows.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
"distributor-checklist","Guía técnica","es","/es/recursos/checklist-distribuidores-kits-analisis-agua","checklist-distribuidores-kits-analisis-agua","https://aquaverify.com/es/recursos/checklist-distribuidores-kits-analisis-agua","x-default=https://aquaverify.com/resources/water-testing-kit-distributor-checklist; en=https://aquaverify.com/resources/water-testing-kit-distributor-checklist; es=https://aquaverify.com/es/recursos/checklist-distribuidores-kits-analisis-agua; fr=https://aquaverify.com/fr/ressources/checklist-distributeurs-kits-analyse-eau; it=https://aquaverify.com/it/risorse/checklist-distributori-kit-analisi-acqua; ca=https://aquaverify.com/ca/recursos/checklist-distribuidors-kits-analisi-aigua","Checklist distribuidores kits análisis de agua | AquaVerify OEM","Checklist para distribuidores de kits de análisis de agua","Checklist práctica para distribuidores científicos que evalúan kits de microbiología del agua, opciones OEM y flujos digitales conectados.","index, follow","","not-applicable","","200","AquaVerify","","","","","","standard-resource-review"
